guid,front,back,tags
"j-jE@,,t%W",What are the two different approaches for providing a user interface?,Via the CLI or via the GUI,"CS::OSRQChapter02, CS::operating-systems"
z]PS2s~a9b,(True/False) Performance Tuning is a type of debugging,It is true.,"CS::OSRQChapter02, CS::operating-systems"
gcL<=j={0F,What is the name of the small piece of code that locates the kernel and loads it into memory?,Bootstrap program / bootstrap loader,"CS::OSRQChapter02, CS::operating-systems"
h4i*#[[xF?,What does the term SYSGEN refer to?,System generation; the process of configuring or generating an instance of an operating system for each individual computer site/architecture.,"CS::OSRQChapter02, CS::operating-systems"
"v,DVr3MMOV",List at least three operating system function that maintain efficient operation of the system.,"Resource allocation, accounting, protection and security","CS::OSRQChapter02, CS::operating-systems"
"D7VyHP5,.E",Provide an example of an operating system that uses the simple structure.,MS-DOS operating system,"CS::OSRQChapter02, CS::operating-systems"
QsnU|KZ{X_,List at least two different hybrid operating systems.,"iOS, Android, macOS","CS::OSRQChapter02, CS::operating-systems"
GV^Yvs!]oe,(True/False) Dtrace is available for most Windows systems.,"False, it has been added to macOS and FreeBSD","CS::OSRQChapter02, CS::operating-systems"
L<0B@MziHx,What is the difference between policy and mechanism?,Mechanisms determine hwo to do something; policies determine what will be done. ,"CS::OSRQChapter02, CS::operating-systems"
my?:w]x(tH,(True/False) The view of must users see of the oeprating system is defined by application and system programs rather than system calls,It is true,"CS::OSRQChapter02, CS::operating-systems"
st#1nTH?:W,List at least three of the categories of system programs.,"File management, status information, file modification, programming-language support, program loading and execution, communications, ba ckground services.","CS::OSRQChapter02, CS::operating-systems"
"ja,wSv>ulI",What is a program that has been loaded and executing called?,A process,"CS::OSRQChapter02, CS::operating-systems"
xL=u>R}7}>,List at least three of the major categories of system calls.,"Process Control, File Manipulation, Device Manipulation, Information Maintenance, Communications, Protection","CS::OSRQChapter02, CS::operating-systems"
Lhig:U:q_-,List at least three different ways for structuring an operating system.,"Simple structure (MS-DOS & early UNIX) <br/> Layered Approach <br/> Microkernel (Tru64 UNIX) <br/> Modules (Linux, Solaris, Windows) <br/> Hybrid Structure (Mac OS X)","CS::OSRQChapter02, CS::operating-systems"
QBE_<A~H4H,What is a system call?,A mechanism that provides the interface between a process and the operating system.,"CS::OSRQChapter02, CS::operating-systems"
Lb}srLaOc=,What are the two types of pipes?,"Ordinary pipes, named pipes","CS::OSRQChapter03, CS::operating-systems"
Bd:r~Adj3+,Are UDP sockets connection-oriented or connection-less?,Connection-less,"CS::OSRQChapter03, CS::operating-systems"
G*c@eVXn^o,What are the four components of a process?,"Stack, heap, data, text (and program counter, processor register)","CS::OSRQChapter03, CS::operating-systems"
F~?nf0at_3,What is another term for process?,Thread or job,"CS::OSRQChapter03, CS::operating-systems"
icDB6KtQ`r,(True/False) Most operating systems allow a process to have multiple threads,It is true,"CS::OSRQChapter03, CS::operating-systems"
zl+)2ilhAY,What is the degree of multiprogramming?,The number of processes in memory,"CS::OSRQChapter03, CS::operating-systems"
M*.&v^cZ?d,"What is the term that describes saving the state of one process, and restoring the state of another?",Context switching,"CS::OSRQChapter03, CS::operating-systems"
MgJKU!n-L[,Are TCP sockets conncetion-oriented or connection-less?,Connection-oriented,"CS::OSRQChapter03, CS::operating-systems"
k9ZP<qkxMT,Provide at least two types of communication mechanisms in client-server systems,"Sockets, Pipes, Remote Procedure Calls","CS::OSRQChapter03, CS::operating-systems"
e^ay?r<u:<,(True/False) Message passing is typically faster than shared memory,"False, shared memory is faster for single-core, message passing shown to exhibit better performance for multi-core systems","CS::OSRQChapter03, CS::operating-systems"
t:^!~gs4vw,What are the two system calls used with message-passing systems?,send() receive(),"CS::OSRQChapter03, CS::operating-systems"
HMu5/jX$N^,What are the two fundamental models of interprocess communication?,Shared memory and message passing,"CS::OSRQChapter03, CS::operating-systems"
hPxJH^e3OA,What is the name of the process that UNIX and Linux systems assign as the new parent of orphan processes?,Init,"CS::OSRQChapter03, CS::operating-systems"
idN?n]MaOR,"What is more common currently, assymetric or symmetric multiprocessing?","Symmetric multiprocessing, each processor is self scheduling opposed to assymetric where one processor does the scheduling for all others","CS::OSRQChapter05, CS::operating-systems"
vp(*v][<SF,What are the two types of burst that CPU schedulers are designed around?,CPU burst and I/O burst,"CS::OSRQChapter05, CS::operating-systems"
"z-,f5@ih=b",List at least three different critea for designing a CPU scheduling algorithm,"CPU Utilization, keeping the CPU as busy as possible <br/> Throughput, the number of processes completed per time unit <br/> Turnaround time, how long it takes too execute a process <br/> Waiting time, the sum of peroids spent waiting in the ready queue <br/> Response time, time from submission of request to first response","CS::OSRQChapter05, CS::operating-systems"
im`Dkci+t^,What scheduling algorithm assigns the Cpu to the process that first requested it?,"First-come, first-served","CS::OSRQChapter05, CS::operating-systems"
FA^L$2^`0j,What scheduling algorithm assigns the CPU to a process for only its time slice (or time quantum)?,Round-robin scheduling,"CS::OSRQChapter05, CS::operating-systems"
E51ag+]m#5,What scheduling algorithm assigns the CPU to the process with the shortest burst,Shortest-job-first ,"CS::OSRQChapter05, CS::operating-systems"
ra?O@XU;@3,What are the two general hardware instructions that can be performed atomically?,"test_and_set(), compare_and_swap()","CS::OSRQChapter05, CS::operating-systems"
vM]XmVDrm],"(True/False) Under preemptive scheduling, when a process switches from the running to the ready state, it may lose control of the CPU",It is false,"CS::OSRQChapter05, CS::operating-systems"
IK.A+(6)n[,What are the two forms of processor affinity?,"Soft affinity, when an operating system has a policy of attempting to keep a process running on the same processor but cannot guarantee it <br/> Hard affinity, allowing a process to specifiy a subset of processors on which it can run","CS::OSRQChapter05, CS::operating-systems"
QMwfyA[V>I,What is push migration?,A specific task periodically checks the load on each processor and if it finds an imblanace it then evenly distributes the load on each processor,"CS::OSRQChapter05, CS::operating-systems"
gqgi3u*|t~,What is pull migration?,When an idle processor pulls a waiting task from a busy processor,"CS::OSRQChapter05, CS::operating-systems"
EKJho`<Ak|,What are two general types of real-time scheduling?,Soft real-time systems and hard real-time systems,"CS::OSRQChapter05, CS::operating-systems"
hmsLO^:[Ml,What real-time scheduling algorithm uses deadline as its scheduling criteria?,Hard real-time systems,"CS::OSRQChapter05, CS::operating-systems"
odbC`6W%&G,What real-time scheduling algorithm is used for scheduling periodic tasks with static priorities?,Rate-monotonic,"CS::OSRQChapter05, CS::operating-systems"
j$(CkF5p9F,What scheduling algorithm assigns the CPU to the process with the highest priority?,Priority scheduling,"CS::OSRQChapter05, CS::operating-systems"
Gx6ka6k>3*,What are the two general approaches for load balancing?,Push migration and pull migration.,"CS::OSRQChapter05, CS::operating-systems"
J/}j40C}4#,What is the prupose of the dispatcher?,It gives control of the CPU to the process selected by the short-term scheduler,"CS::OSChapter06, CS::operating-systems"
FS|jcD-uzV,What is the dispatcher latency?,The time it takes for the dispatcher to stop one processor and start another,"CS::OSChapter06, CS::operating-systems"
MC2G~9Bk}s,What is bounded waiting?,"After a process makes a request for getting into its critical section, there is a limit for how many other processes can get into their critical section, before this process's request is granted","CS::OSChapter06, CS::operating-systems"
uV3RNh)]6%,What is special about a preemptive kernel?,It allows preemption of process when running in kernel mode,"CS::OSChapter06, CS::operating-systems"
zJ5-10d)[k,What is special about a non-preemptive kernel?,"It runs until it exits kernel mode, blocks, or voluntarily yields CPU, therefore free of race conditions","CS::OSChapter06, CS::operating-systems"
eGjw3btH_z,(True/False) test_and_set is executed atomically.,It is true,"CS::OSChapter06, CS::operating-systems"
c^V.R7.k|:,What is an atomic variable?,A variable that provides atomic updates on basic data types such as integers and booleans,"CS::OSChapter06, CS::operating-systems"
"rl;uL={T,9",A spinlock requires what type of waiting?,Busy waiting,"CS::OSChapter06, CS::operating-systems"
ClFPTko@%_,What is the domain of a counting semaphore? ,Unrestricted,"CS::OSChapter06, CS::operating-systems"
j/X?C2]R|/,What is the domain of a binary semaphore?,0 and 1 ,"CS::OSChapter06, CS::operating-systems"
uUtB&?$`(P,"Using the semaphore operations signal() and wait(), what is the only valid order?","wait(mutex), signal(mutex)","CS::OSChapter06, CS::operating-systems"
GIZ~AD{Wvu,What is priority inversion?,Scheduling problem when lower-priority process holds a lock needed by a higher-priority process,"CS::OSChapter06, CS::operating-systems"
DnTIEcE?c3,How do you solve priority inversion? ,Via priority-inhertiance protocol,"CS::OSChapter06, CS::operating-systems"
oCGo@/EP#w,What does the priority inheritance protocol allow?,The priority of the highest thread waiting to access a shared resource to be assigned to the thread currently using the resource. ,"CS::OSChapter06, CS::operating-systems"
dXzTIu&ymc,"If the current value of counter = 5, what are its possible values if the producer and consumer processes run concurrently? ","Either 5, 6, or 7.","CS::OSRQChapter06, CS::operating-systems"
k0xDJ%$t>!,What is the term for describing the situation where shared data may be manipulated concurrently and the outcome of the execution depends upon the order of access?,Race Condition ,"CS::OSRQChapter06, CS::operating-systems"
c_Q]1{<G/E,What is the term used to describe the segment of code where shared data is accessed and possibly manipulated?,Critical section ,"CS::OSRQChapter06, CS::operating-systems"
<:W*Osg1V,What are the three requirements a solution to the critical-section problem must satisfy?,"Mutual Exclusion, Progress, and bounded waiting. ","CS::OSRQChapter06, CS::operating-systems"
e[v4]y.&);,What is progress?,"If no process is executing in its critical section and some processes wish to enter their critical sections, then only those processes that are not executing in their remainder section can participate in deciding which will enter its critical section next, and this selection cannot be postponed indefinitely.","CS::OSChapter06, CS::operating-systems"
w<[J4y+co`,What is bounded waiting?,"There exists a bound, or limit, on the number of times other processes are allowed to enter their critical sections after a process has made request to enter its critical section and before that request is granted.","CS::OSChapter06, CS::operating-systems"
"h,#64INC;+","What is following a description of? This allows a process ot be temporarily interrupted without requiring its cooperation, with the intention of resuming the task at a later time while it is running in kernel mode",Preemptive kernel.,"CS::OSChapter06, CS::operating-systems"
NPoi{*g;#D,(True/False) A nonpreemptive kernel is essentially free form race conditions.,"This is true, as only one process is active in the kernel at a time","CS::OSRQChapter06, CS::operating-systems"
B=y0#fLg:&,(True/False) There are no guarantees that Peterson’s solution works correctly on modern computer architectures.,"True, Peterson’s solution works correctly for architectures with single CPU, but many modern architectures involve CPUs with multicores or multiprocessors.","CS::OSRQChapter06, CS::operating-systems"
eFvqAd7Pad,(True/False) All solutions to the critical section problem are based on locking.,This is true.,"CS::OSRQChapter06, CS::operating-systems"
Al.X^gK5@D,What are the two general hardware instructions that can be performed atomically?,"test_and_set(), compare_and_swap()","CS::OSRQChapter06, CS::operating-systems"
z%ST:_Uytd,What are the two functions used with mutex locks?,acquire() and release(),"CS::OSRQChapter06, CS::operating-systems"
HQNQi-q6LY,(True/False) A spinlock is a type of mutex lock.,"True, it is basically a mutex lock with busy waiting. ","CS::OSRQChapter06, CS::operating-systems"
LngjRfI&yZ,True or False? Semaphores can provide the same functionality as mutex locks.,"True, binary semaphores are very similar to mutex locks.","CS::OSRQChapter06, CS::operating-systems"
Qz%SZA*!+:,What are the two operations that can be performed on a semaphore?,signal() and wait(),"CS::OSRQChapter06, CS::operating-systems"
b|M>8[42$Q,(True/False) A binary semaphore is functionally equivalent to a mutex lock.,True.,"CS::OSRQChapter06, CS::operating-systems"
sOj^RAEyz5,What are the two operations that can be performed on a condition variable?,signal() and wait(),"CS::OSRQChapter06, CS::operating-systems"
Qh_?^|{ue<,Name at least one modern programming language that has incorporated the idea of a monitor.,"Java, C#","CS::OSRQChapter06, CS::operating-systems"
"I43/I$;5,w","(True/False) The system model for deadlocks first requires a process request a resource, then use the resource, and finally release the resource.",This is true,"CS::OSRQChapter06, CS::operating-systems"
QveGc:PsSY,What are the four necessary conditions for characterizing deadlock?,"Mutual Exclusion, hold and wait, no preemption and circular set. Therefore we can also prevent a deadlock by preventing any of these conditions. ","CS::OSRQChapter06, CS::operating-systems"
sZw%3@tLt1,What is the only reasonable condition that can be used to prevent deadlocks from occurring?,"Circular-wait. Impose a total ordering of all resource types, and require that each process requests resources in an increasing order of enumeration.","CS::OSRQChapter06, CS::operating-systems"
t`wV|#7A39,Why can disabling interrupts frequently affect the system’s clock?,"The clock is updated at every clock interrupt, so disabling interrupts could cause the clock to miss an interrupt and end up being behind. ","CS::OSPEChapter06, CS::operating-systems"
b_Iu)9DFJ(,"Why are spinlocks not appropriate for single-processor systems, yet often used in multiprocessor systems?",You can only break a proces sout of a spinlock by executing a different process.,"CS::OSPEChapter06, CS::operating-systems"
